Date : 2023-12-18 12:00:19
Directory : /users/DonaldJ/faasm
Total : 45 files,  20696 codes, 0 comments, 223 blanks, all 20919 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| WebAssembly Text Format |         42 |     20,665 |          0 |        220 |     20,885 |
| Ignore                  |          2 |         18 |          0 |          2 |         20 |
| jsonc                   |          1 |         13 |          0 |          1 |         14 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                         |         45 |     20,696 |          0 |        223 |     20,919 |
| clients                                                                                                                                   |         18 |        197 |          0 |         30 |        227 |
| clients/cpp                                                                                                                               |          8 |         40 |          0 |          1 |         41 |
| clients/cpp/third-party                                                                                                                   |          8 |         40 |          0 |          1 |         41 |
| clients/cpp/third-party/llvm-project                                                                                                      |          8 |         40 |          0 |          1 |         41 |
| clients/cpp/third-party/llvm-project/clang-tools-extra                                                                                    |          1 |          9 |          0 |          1 |         10 |
| clients/cpp/third-party/llvm-project/clang-tools-extra/clangd                                                                             |          1 |          9 |          0 |          1 |         10 |
| clients/cpp/third-party/llvm-project/clang-tools-extra/clangd/clients                                                                     |          1 |          9 |          0 |          1 |         10 |
| clients/cpp/third-party/llvm-project/clang-tools-extra/clangd/clients/clangd-vscode                                                       |          1 |          9 |          0 |          1 |         10 |
| clients/cpp/third-party/llvm-project/llvm                                                                                                 |          7 |         31 |          0 |          0 |         31 |
| clients/cpp/third-party/llvm-project/llvm/test                                                                                            |          7 |         31 |          0 |          0 |         31 |
| clients/cpp/third-party/llvm-project/llvm/test/Object                                                                                     |          4 |         14 |          0 |          0 |         14 |
| clients/cpp/third-party/llvm-project/llvm/test/Object/Inputs                                                                              |          4 |         14 |          0 |          0 |         14 |
| clients/cpp/third-party/llvm-project/llvm/test/Object/Inputs (Files)                                                                      |          1 |          8 |          0 |          0 |          8 |
| clients/cpp/third-party/llvm-project/llvm/test/Object/Inputs/WASM                                                                         |          3 |          6 |          0 |          0 |          6 |
| clients/cpp/third-party/llvm-project/llvm/test/tools                                                                                      |          3 |         17 |          0 |          0 |         17 |
| clients/cpp/third-party/llvm-project/llvm/test/tools/llvm-objdump                                                                         |          2 |          9 |          0 |          0 |          9 |
| clients/cpp/third-party/llvm-project/llvm/test/tools/llvm-objdump/Inputs                                                                  |          2 |          9 |          0 |          0 |          9 |
| clients/cpp/third-party/llvm-project/llvm/test/tools/llvm-readobj                                                                         |          1 |          8 |          0 |          0 |          8 |
| clients/cpp/third-party/llvm-project/llvm/test/tools/llvm-readobj/wasm                                                                    |          1 |          8 |          0 |          0 |          8 |
| clients/cpp/third-party/llvm-project/llvm/test/tools/llvm-readobj/wasm/Inputs                                                             |          1 |          8 |          0 |          0 |          8 |
| clients/python                                                                                                                            |         10 |        157 |          0 |         29 |        186 |
| clients/python/third-party                                                                                                                |         10 |        157 |          0 |         29 |        186 |
| clients/python/third-party/cpp                                                                                                            |         10 |        157 |          0 |         29 |        186 |
| clients/python/third-party/cpp/third-party                                                                                                |         10 |        157 |          0 |         29 |        186 |
| clients/python/third-party/cpp/third-party/ImageMagick                                                                                    |          1 |         13 |          0 |          1 |         14 |
| clients/python/third-party/cpp/third-party/ImageMagick/.devcontainer                                                                      |          1 |         13 |          0 |          1 |         14 |
| clients/python/third-party/cpp/third-party/libpng                                                                                         |          1 |        104 |          0 |         27 |        131 |
| clients/python/third-party/cpp/third-party/libpng/scripts                                                                                 |          1 |        104 |          0 |         27 |        131 |
| clients/python/third-party/cpp/third-party/llvm-project                                                                                   |          8 |         40 |          0 |          1 |         41 |
| clients/python/third-party/cpp/third-party/llvm-project/clang-tools-extra                                                                 |          1 |          9 |          0 |          1 |         10 |
| clients/python/third-party/cpp/third-party/llvm-project/clang-tools-extra/clangd                                                          |          1 |          9 |          0 |          1 |         10 |
| clients/python/third-party/cpp/third-party/llvm-project/clang-tools-extra/clangd/clients                                                  |          1 |          9 |          0 |          1 |         10 |
| clients/python/third-party/cpp/third-party/llvm-project/clang-tools-extra/clangd/clients/clangd-vscode                                    |          1 |          9 |          0 |          1 |         10 |
| clients/python/third-party/cpp/third-party/llvm-project/llvm                                                                              |          7 |         31 |          0 |          0 |         31 |
| clients/python/third-party/cpp/third-party/llvm-project/llvm/test                                                                         |          7 |         31 |          0 |          0 |         31 |
| clients/python/third-party/cpp/third-party/llvm-project/llvm/test/Object                                                                  |          4 |         14 |          0 |          0 |         14 |
| clients/python/third-party/cpp/third-party/llvm-project/llvm/test/Object/Inputs                                                           |          4 |         14 |          0 |          0 |         14 |
| clients/python/third-party/cpp/third-party/llvm-project/llvm/test/Object/Inputs (Files)                                                   |          1 |          8 |          0 |          0 |          8 |
| clients/python/third-party/cpp/third-party/llvm-project/llvm/test/Object/Inputs/WASM                                                      |          3 |          6 |          0 |          0 |          6 |
| clients/python/third-party/cpp/third-party/llvm-project/llvm/test/tools                                                                   |          3 |         17 |          0 |          0 |         17 |
| clients/python/third-party/cpp/third-party/llvm-project/llvm/test/tools/llvm-objdump                                                      |          2 |          9 |          0 |          0 |          9 |
| clients/python/third-party/cpp/third-party/llvm-project/llvm/test/tools/llvm-objdump/Inputs                                               |          2 |          9 |          0 |          0 |          9 |
| clients/python/third-party/cpp/third-party/llvm-project/llvm/test/tools/llvm-readobj                                                      |          1 |          8 |          0 |          0 |          8 |
| clients/python/third-party/cpp/third-party/llvm-project/llvm/test/tools/llvm-readobj/wasm                                                 |          1 |          8 |          0 |          0 |          8 |
| clients/python/third-party/cpp/third-party/llvm-project/llvm/test/tools/llvm-readobj/wasm/Inputs                                          |          1 |          8 |          0 |          0 |          8 |
| tests                                                                                                                                     |          1 |          2 |          0 |          0 |          2 |
| tests/test                                                                                                                                |          1 |          2 |          0 |          0 |          2 |
| tests/test/upload                                                                                                                         |          1 |          2 |          0 |          0 |          2 |
| third-party                                                                                                                               |         26 |     20,497 |          0 |        193 |     20,690 |
| third-party/wavm                                                                                                                          |         26 |     20,497 |          0 |        193 |     20,690 |
